hip,name,ra_deg,dec_deg,dist_pc,spec_type,gal_lat,exoplanet,bl_paper,object_type
,BD+18_487,51.98043703911,18.88233488986,,,,,,HighPM*
,GJ1005_R,3.86712874,-16.1337862,,,,,,**
,GJ1061_R,53.998746505525,-44.5127030084914,,,,,,HighPM*
,GJ191_R,77.9191243314571,-45.0184338152433,,,,,,HighPM*
,GJ1_R,1.3517851465738,-37.357363314307,,,,,,HighPM*
,GJ65_R,24.7560539,-17.9505681,,,,,,**
,GJ674_R,262.1664399089879,-46.8951911377428,,,,,,Low-Mass*
,GJ682_R,264.2652727361141,-44.3192129147144,,,,,,HighPM*
,GJ729_R,282.4556824008354,-23.8362353820417,,,,,,HighPM*
,GJ825_R,319.3136211170721,-38.8673622051614,,,,,,HighPM*
,GJ832_R,323.3915629966566,-49.0089998408411,,,,,,HighPM*
,GJ845A_R,330.8402234423433,-56.785978554365,,,,,,HighPM*
,GJ866_R,339.6399,-15.2999325,,,,,,Eruptive*
,GJ887_R,346.4668157737879,-35.8530708847331,,,,,,HighPM*
,GJ_757,291.1426468428492,-22.0621756145672,,,,,,HighPM*
,HD_109376,188.55529927339,-3.72116102193,,,,,,HighPM*
,HD_115153,198.87819979348,-8.05513847339,,,,,,SB*
,HD_117004,201.8735784273299,-9.19270566534,,,,,,HighPM*
,HD_152956,254.37597943492,-22.6436503973,,,,,,Star
,HD_20477,49.58326451606,18.17162299796,,,,,,**
,HD_224448,359.5189049988899,-0.12819304166,,,,,,Star
,HD_284145,61.23552557983,20.85647858349,,,,,,HighPM*
,HD_53532,106.57000856493,22.68348676258,,,,,,HighPM*
,HD_81563,141.70585205762,14.92798398003,,,,,,HighPM*
100013,HIP100013,304.35490518931,39.59354069144,,,,,,Be*
100014,HIP100014,304.3616867211,-15.82776050553,,,,,,**
100019,HIP100019,304.38147119686,44.89500353892,,,,,,HighPM*
100020,HIP100020,304.39597858607,28.11163476983,,,,,,Star
100021,HIP100021,304.39864966189,28.51754541086,,,,,,Star
100034,HIP100034,304.43260751218,19.24791328875,,,,,,Star
100037,HIP100037,304.4352281685099,40.50686973048,,,,,,**
100040,HIP100040,304.43926074052,46.43611110907,,,,,,HighPM*
100055,HIP100055,304.48764260655,56.21633539552,,,,,,HighPM*
100058,HIP100058,304.499624886388,33.191408783978,,,,,,**
100066,HIP100066,304.52016975827,27.50543299159,,,,,,**
100072,HIP100072,304.5416905948,-4.72866484804,,,,,,Star
100077,HIP100077,304.55414898896,40.12181404639,,,,,,Star
100079,HIP100079,304.55593921,29.20416411,,,,,,**
100081,HIP100081,304.55795403076,58.80923506932,,,,,,Star
100084,HIP100084,304.5600491836479,18.3282178092597,,,,,,Star
100085,HIP100085,304.56521040571,39.88492225182,,,,,,Star
10010,HIP10010,32.23041529384,-16.00956581286,,,,,,Star
100104,HIP100104,304.6148456838199,36.25434130508,,,,,,Star
100108,HIP100108,304.6193967396799,36.99980421386,,,,,,Star
100115,HIP100115,304.64132960094,16.46680301371,,,,,,Star
100138,HIP100138,304.7001045914199,-9.88560367762,,,,,,Star
10014,HIP10014,32.23619566771,7.0076159885,,,,,,Star
100159,HIP100159,304.7529216701399,2.23341419929,,,,,,Star
100162,HIP100162,304.7565607402399,51.97703884601,,,,,,Star
100168,HIP100168,304.77063203788,-10.8000211215,,,,,,Star
100184,HIP100184,304.82438204499,-47.58029035331,,,,,,HighPM*
100188,HIP100188,304.8311809316599,-3.75416629699,,,,,,Star
10019,HIP10019,32.25617880185,22.39922110702,,,,,,EmLine*
10022,HIP10022,32.2588220682746,35.6747344409276,,,,,,**
100223,HIP100223,304.9039010378796,-46.4281150851303,,,,,,HighPM*
100239,HIP100239,304.95133985717,37.13251423047,,,,,,Star
100241,HIP100241,304.9569902881783,45.363803130145,,,,,,**
100244,HIP100244,304.9668105357999,-15.01791907792,,,,,,HighPM*
100255,HIP100255,304.99441126959,51.57908755473,,,,,,Star
10026,HIP10026,32.26358084281,-16.64848349939,,,,,,Star
100268,HIP100268,305.06341522,39.40322136,,,,,,**
100271,HIP100271,305.07964973165,52.23058666077,,,,,,HighPM*
100272,HIP100272,305.07975820916,-10.37523094484,,,,,,Star
100309,HIP100309,305.16364472852,16.01551349349,,,,,,HighPM*
100314,HIP100314,305.17633534368,66.69372930586,,,,,,BlueSG
100325,HIP100325,305.19394955629,-14.78488992343,,,,,,SB*
100329,HIP100329,305.20349786913,16.90967409287,,,,,,Star
10033,HIP10033,32.28804541158,-2.33196181563,,,,,,HighPM*
100363,HIP100363,305.31345926623,28.10683484402,,,,,,HighPM*
10037,HIP10037,32.2954215651996,-16.3395914749797,,,,,,HighPM*
100371,HIP100371,305.3329041617,30.20470716347,,,,,,Star
1004,HIP1004,3.13735243994,24.63636941758,,,,,,Star
100402,HIP100402,305.40798488255,28.38017893842,,,,,,SB*
100407,HIP100407,305.41571245773,-4.80557544122,,,,,,Star
100440,HIP100440,305.53779713183,44.19114485329,,,,,,Star
100442,HIP100442,305.5415153851,70.14623871597,,,,,,Star
100448,HIP100448,305.553327382,-15.62568598026,,,,,,Star
100452,HIP100452,305.55716772171,69.51251388199,,,,,,Star
10047,HIP10047,32.34275176481,5.98620289093,,,,,,HighPM*
100475,HIP100475,305.63423325204,34.99072469233,,,,,,Star
1005,HIP1005,3.1381480479,-11.6929811878,,,,,,**
100514,HIP100514,305.72611138656,18.3400828598,,,,,,Star
100527,HIP100527,305.75699039352,61.58029497213,,,,,,Star
10053,HIP10053,32.3555207688508,25.9398378657198,,,,,,HighPM*
100540,HIP100540,305.7935062038054,35.6930696468792,,,,,,EmLine*
100545,HIP100545,305.8081677275,59.7776224308,,,,,,**
10056,HIP10056,32.35898597796,5.67750736889,,,,,,HighPM*
100565,HIP100565,305.88388765256,62.27137153196,,,,,,HighPM*
10064,HIP10064,32.38594634,34.98729706,,,,,,SB*
100670,HIP100670,306.17374326709,79.09417389834,,,,,,HighPM*
100701,HIP100701,306.2395772739799,59.16512343267,,,,,,Star
100714,HIP100714,306.27086907913,59.60009888815,,,,,,**
10072,HIP10072,32.4005567849212,-14.3590668980383,,,,,,HighPM*
100733,HIP100733,306.35276285997,7.87499156152,,,,,,Star
100734,HIP100734,306.3559468513399,6.64180602572,,,,,,Star
100749,HIP100749,306.40106814072,43.67783126079,,,,,,Star
100753,HIP100753,306.41504801223,43.96754631884,,,,,,Star
100759,HIP100759,306.4283933791904,60.1776092640819,,,,,,Star
10077,HIP10077,32.40564877131,37.11640823042,,,,,,EclBin
100777,HIP100777,306.50393829433,35.81122416457,,,,,,**
100786,HIP100786,306.51917587271,4.18816585278,,,,,,Star
10079,HIP10079,32.40981241932,42.85806565998,,,,,,HighPM*
100816,HIP100816,306.61932163698,63.44509030155,,,,,,Star
10082,HIP10082,32.41127027742,44.6717211149,,,,,,HighPM*
100852,HIP100852,306.72062293,-37.40290583,,,,,,**
100865,HIP100865,306.7779299204299,44.07918985884,,,,,,Star
100923,HIP100923,306.9235718378704,-27.7477060496486,,,,,,HighPM*
100925,HIP100925,306.9343460632237,-30.8678455621019,,,,,,HighPM*
100933,HIP100933,306.96581823833,65.75577547423,,,,,,Star
100944,HIP100944,307.00096037403,59.73451358411,,,,,,Star
100962,HIP100962,307.04774146737,2.10256085912,,,,,,Star
100963,HIP100963,307.04923105164,22.12899201367,,,,,,HighPM*
10098,HIP10098,32.46210818467,26.48452172356,,,,,,Star
100984,HIP100984,307.1164359575345,62.0145388127628,,,,,,SB*
10099,HIP10099,32.4639796916,3.7693472396,,,,,,SB*
10103,HIP10103,32.48834841856,14.85462109801,,,,,,Star
101046,HIP101046,307.26059736,7.15810477,,,,,,**
101065,HIP101065,307.32872731863,60.42163340991,,,,,,Star
101075,HIP101075,307.34801968553,60.96774494785,,,,,,Star
101114,HIP101114,307.43691326147,2.99622570428,,,,,,Star
101188,HIP101188,307.64991734861,18.54978595614,,,,,,Star
1012,HIP1012,3.15316599841,-13.61015452875,,,,,,Star
101218,HIP101218,307.7582819462099,59.87597437102,,,,,,SB*
101232,HIP101232,307.79701513615,21.24408374916,,,,,,Star
101251,HIP101251,307.8558264827599,22.0560185914,,,,,,Star
101273,HIP101273,307.9189821958116,62.4622522994858,,,,,,**
101294,HIP101294,307.9709620386,60.06332083582,,,,,,Star
101307,HIP101307,308.01861713613,60.42231786102,,,,,,HighPM*
101346,HIP101346,308.09996543494,6.51757101878,,,,,,HighPM*
101348,HIP101348,308.1032065877599,58.81323267604,,,,,,Star
101369,HIP101369,308.1792728382366,19.5265116016808,,,,,,HighPM*
10138,HIP10138,32.6079923751263,-50.8237403281133,,,,,,HighPM*
101401,HIP101401,308.25638656025,67.30946987878,,,,,,Star
