hip,name,ra_deg,dec_deg,dist_pc,spec_type,gal_lat,exoplanet,bl_paper
2,HIP2,0.004167,-19.498611,45.6000,K3V,-75.9582,0,E17
169,HIP169,0.536250,-68.280556,15.8000,M0V,-48.1913,0,E17
171,HIP171,0.542500,27.082222,12.4000,G3V,-34.5114,0,E17
194,HIP194,0.623750,8.485278,37.6000,F0V,-52.4637,0,E17
400,HIP400,1.234583,23.269444,25.6000,G9V,-38.3661,0,E17
428,HIP428,1.295417,45.786389,11.4000,M2,-16.3317,0,E17
436,HIP436,1.323750,-67.832500,16.0000,K5V,-48.7034,0,E17
443,HIP443,1.333750,-5.707500,39.4000,K1III,-65.9326,0,E17
GJ1,GJ1,1.351667,-37.357222,4.3400,M1.5V,-75.9031,0,E17
518,HIP518,1.565833,58.436667,20.2000,G5V,-3.9169,0,E17
522,HIP522,1.580000,-49.075000,25.6000,G1IV...,-66.3868,1,E17
544,HIP544,1.653333,29.021389,13.7000,K0V,-32.8327,0,E17
GJ1002,GJ1002,1.682500,-7.539444,4.6900,M5.0V,-67.7270,1,E17
560,HIP560,1.708750,-23.107500,39.0000,F2IV,-79.1384,0,E17
677,HIP677,2.097083,29.090278,29.7000,B9p,-32.8435,0,E17
910,HIP910,2.816250,-15.467778,18.8000,F5V,-75.0650,0,E17
916,HIP916,2.837917,58.349722,28.0000,K7,-4.1126,0,E17
950,HIP950,2.933333,-35.133056,21.8000,F3/F5V,-78.3391,0,E17
974,HIP974,3.016667,27.098889,25.7000,K0,-34.9535,0,E17
1031,HIP1031,3.209583,-57.912500,20.3000,K0V,-58.4749,0,E17
1086,HIP1086,3.378333,41.035278,35.0000,F0IV,-21.2715,0,E17
1242,HIP1242,3.867083,-16.133611,5.2100,M:,-76.2007,0,E17
1292,HIP1292,4.052917,-79.851111,17.6000,G6V,-37.1441,1,E17
1349,HIP1349,4.224583,-52.651111,23.0000,G2V,-63.6751,0,E17
1368,HIP1368,4.276667,40.948056,14.9000,M0,-21.4595,0,E17
1444,HIP1444,4.495417,-13.455556,26.1000,G2V,-74.2501,0,E17
1463,HIP1463,4.569167,10.202778,16.2000,M0,-51.8125,0,E17
1473,HIP1473,4.582083,36.785000,43.2000,A2V,-25.6140,0,E17
GJ15A,GJ15A,4.595417,44.023056,3.5700,M1.5V,-18.4469,1,E17
GJ15B,GJ15B,4.606250,44.026944,3.5700,M3.5V,-18.4440,0,E17
1499,HIP1499,4.674583,-8.052778,23.4000,G0V,-69.4087,1,E17
1532,HIP1532,4.773333,-9.964722,20.7000,K7V,-71.2182,0,E17
1599,HIP1599,5.017917,-64.874722,8.5900,F9V,-51.9240,0,E17
1692,HIP1692,5.305417,-8.281111,23.0000,K2,-69.8411,1,E17
1768,HIP1768,5.598333,-27.032500,22.4000,K1V,-83.5351,0,E17
1803,HIP1803,5.715833,-12.209167,20.3000,G3V,-73.6455,0,E17
1837,HIP1837,5.816667,-33.167500,22.2000,K3/K4V,-81.4279,0,E17
1936,HIP1936,6.107917,-27.026667,18.0000,K2V,-83.9883,0,E17
2072,HIP2072,6.550833,-43.679722,23.5000,A7V,-72.6818,0,E17
2081,HIP2081,6.571250,-42.305833,23.7000,K0III..,-73.9787,0,E17
2120,HIP2120,6.719583,70.142222,16.2000,M0,7.3707,0,E17
2422,HIP2422,7.729583,77.019167,39.4000,K0IV,14.1947,0,E17
2552,HIP2552,8.122500,67.235556,10.1000,M2.5Ve,4.4314,0,E17
2578,HIP2578,8.182917,-63.031389,46.4000,A0V,-53.9658,0,E17
2711,HIP2711,8.615833,-52.373056,25.6000,F3IV-V,-64.5558,0,E17
2762,HIP2762,8.812083,-3.592778,21.0000,F8V...,-66.1487,0,E17
2852,HIP2852,9.028750,-22.842222,49.7000,A5m...,-84.4849,0,E17
2941,HIP2941,9.336250,-24.767222,15.5000,K1V+...,-86.0493,0,E17
3092,HIP3092,9.832083,30.860833,31.0000,K3III..,-31.9389,0,E17
3093,HIP3093,9.840833,21.250278,11.1000,K0V,-41.5333,1,E17
3170,HIP3170,10.107083,-59.454444,25.4000,G1V,-57.6179,0,E17
3206,HIP3206,10.205417,40.186944,17.2000,K2V,-22.6395,1,E17
3418,HIP3418,10.887083,33.844444,20.7000,K8,-28.9986,0,E17
3419,HIP3419,10.897500,-17.986389,29.3000,K0III,-80.6809,0,E17
3497,HIP3497,11.163750,-65.649444,21.8000,G3V,-51.4640,1,E17
3505,HIP3505,11.185000,-22.006111,27.8000,F0V,-84.6565,0,E17
3535,HIP3535,11.270417,1.785278,22.0000,K2V,-61.0460,0,E17
3583,HIP3583,11.440000,-47.551944,14.9000,G5IV,-69.5461,0,E17
3588,HIP3588,11.451250,-41.909167,16.0000,K5V com,-75.1742,0,E17
3765,HIP3765,12.095833,5.280556,7.4600,K2V,-57.5828,0,E17
3821,HIP3821,12.276250,57.815000,5.9500,G0V SB,-5.0553,0,E17
3850,HIP3850,12.361667,-23.212222,18.8000,G8/K0V,-86.0582,0,E17
3876,HIP3876,12.443750,70.449444,21.5000,K0,7.5782,0,E17
3909,HIP3909,12.531667,10.644167,15.4000,F7IV-V,-52.2262,0,E17
3979,HIP3979,12.795000,-5.039167,22.0000,G0,-67.9108,0,E17
