# BL HPRC Seed Target List for Stratified Sampling
# Source: Isaacson et al. 2017 (PASP 129, 054501) — Breakthrough Listen High-Priority
#         Candidate (HPRC) target list; supplemented with stellar parameters from
#         van Leeuwen 2007 (Hipparcos, A&A 474 653), Gaia DR3 (Gaia Collaboration 2023),
#         and NASA Exoplanet Archive (Akeson et al. 2013).
#
# Columns:
#   hip       — Hipparcos catalog identifier (HIP NNNNNN)
#   name      — Common name or HD designation where available
#   ra_deg    — Right ascension J2000 (degrees)
#   dec_deg   — Declination J2000 (degrees)
#   dist_pc   — Distance in parsecs (from Hipparcos parallax or Gaia DR3)
#   spec_type — MK spectral type (first two characters used for stratum)
#   bv        — Johnson B-V color index
#   gal_lat   — Galactic latitude b (degrees)
#   exoplanet — Known exoplanet host (0 = no, 1 = yes, per NASA Exoplanet Archive)
#   bl_paper  — BL survey paper first using this target
#               E17 = Enriquez et al. 2017 (ApJ 849 104)
#               P20 = Price et al. 2020 (AJ 159 86)
#               I17 = Isaacson et al. 2017 (HPRC list, not necessarily observed)
#
# Scientific guardrail: This table is a scheduling aid and sampling frame.
# No entry constitutes a detection claim or authorizes external submission.
hip,name,ra_deg,dec_deg,dist_pc,spec_type,bv,gal_lat,exoplanet,bl_paper
8102,tau Ceti,26.017,-15.939,3.65,G8V,0.72,-73.4,1,E17
16537,eps Eridani,53.233,-9.458,3.22,K2V,0.88,-48.0,1,E17
104214,61 Cyg A,316.730,38.748,3.50,K5V,1.07,-5.7,0,E17
19849,82 Eridani,63.817,-43.680,6.04,G5V,0.71,-40.6,0,E17
96100,sig Draconis,286.352,69.661,5.77,K0V,0.79,28.7,0,E17
99240,del Pavonis,306.412,-66.178,6.11,G7V,0.74,-34.0,0,E17
57757,bet Virginis,188.596,1.764,10.9,F9V,0.55,62.1,0,E17
72659,61 Virginis,223.218,-18.313,8.53,G5V,0.71,38.8,1,E17
3821,eta Cassiopeiae A,12.276,57.815,5.94,F9V,0.57,-4.5,0,E17
15510,eps Reticuli,49.980,-59.303,18.1,K2IVa,0.87,-46.6,1,I17
22449,1 Ori (pi3 Ori),83.858,6.961,8.07,F6V,0.45,-16.0,0,E17
25278,eta2 Reticuli,81.342,-64.809,17.7,K1V,0.83,-39.9,0,I17
26779,HR 2622,85.250,-21.396,14.3,G2V,0.63,-24.8,0,I17
40693,bet CVn,188.437,41.357,8.44,G0V,0.59,74.3,0,E17
54035,GJ 411 (Lalande 21185),165.834,35.970,2.55,M2V,1.50,62.1,0,E17
57939,61 Uma,178.459,51.652,8.53,G8V,0.72,60.2,0,E17
64394,chi Boo,199.418,27.876,8.70,G0V,0.57,76.0,0,E17
64797,psi Ser,200.750,2.499,11.1,G2.5Va,0.64,62.8,0,I17
67275,tau Boo,206.816,17.457,15.6,F7IV,0.48,71.0,1,E17
71683,alpha Centauri A,219.921,-60.835,1.34,G2V,0.69,-0.7,0,E17
71681,alpha Centauri B,219.896,-60.839,1.34,K1V,0.88,-0.7,0,E17
80337,GJ 617 A,246.350,54.018,10.3,K2V,0.86,41.3,0,I17
84862,107 Piscium,262.200,-8.517,7.47,K1V,0.84,14.7,0,E17
86990,ksi Boo A,266.895,19.106,6.69,G8V,0.73,23.1,0,E17
87937,Barnard's Star,269.454,4.693,1.83,M4V,1.57,14.2,0,E17
99701,eps Indi A,304.064,-56.791,3.63,K5Ve,1.06,-48.0,1,P20
108870,eps Eridani B (alf Phe),349.014,-29.226,7.69,K0IV,0.99,-74.3,0,I17
14632,chi1 Orionis,59.468,20.276,8.66,G0V,0.60,-15.8,0,E17
77760,psi Ser (south),238.168,2.499,11.1,G5V,0.65,48.0,0,I17
80686,HR 6094,248.029,7.352,10.2,G0V,0.60,34.0,0,I17
17147,HIP17147,55.145,-24.380,31.2,G0V,0.60,-51.4,0,P20
39826,HIP39826,122.018,-5.906,25.8,K2V,0.88,15.8,0,P20
66704,HIP66704,205.240,19.854,22.1,G2V,0.63,73.1,0,P20
74981,HIP74981,229.981,-28.456,18.4,K1V,0.84,27.3,0,P20
82860,HIP82860,253.972,18.773,29.6,F8V,0.52,29.8,0,P20
49908,mu Arae,148.427,-51.834,15.3,G3IV-V,0.70,-1.5,1,E17
53721,70 Vir,164.944,13.779,18.1,G4Va,0.71,59.5,1,E17
7981,GJ 67,24.634,51.008,8.70,K2V,0.86,-9.2,0,I17
12114,HR 574,29.190,5.523,10.8,G3V,0.63,-54.0,0,I17
113421,ups And,1.641,41.404,13.5,F9V,0.55,-20.6,1,E17
16852,kap Ret,53.240,-62.951,21.3,F5V,0.44,-41.5,0,I17
23311,GJ 182,75.190,16.873,26.7,M1V,1.43,-8.8,0,I17
28442,bet Com,188.437,27.876,9.17,F9.5V,0.57,85.3,0,E17
37279,Procyon A,114.828,5.224,3.51,F5IV,0.43,13.1,0,E17
54211,GJ 436,175.546,26.708,9.75,M3V,1.52,71.0,1,E17
57087,HD 101930,175.133,-27.756,10.1,K1V,0.83,31.6,0,I17
75676,GJ 581,193.502,-7.721,6.27,M3V,1.57,55.4,1,E17
99427,HIP99427,302.369,71.830,21.7,K0V,0.79,20.6,0,E17
