target_id,project,source,catalog_ids,ra_deg,dec_deg,data_products_available,estimated_download_gb,search_category,scientific_novelty,prior_significance,followup_leverage,data_quality,method_advantage,publication_value,community_integration,new_followup_balance,storage_cost_penalty,prior_review_adjustment,total_priority,target_selection_score,priority_config_version,status,notes,citations,local_coverage_status,background_target_priority_score,source_hdf5_url
HIP107975,2026 Technosignature Search,Breakthrough Listen HPRC full target catalog,HIP 107975; HIP107975,328.124583,28.793333,hdf5_size_preflight_ok,0.263448,new_parameter_space,2.75,1.5,0,3,2.5,1,3,2.75,0,0.08,16.5,0.542,background_priority_v0,raw_download_approval_required,Current BL HDF5 URL passed HEAD-only size preflight. Raw download still requires explicit operator approval and storage-reserve check.,docs/bl_hprc_target_list_research.md; docs/astrometrics_data_selection_policy.md; docs/SYSTEMATIC_SEARCH_PLAN.md,not_searched_size_preflight_ok,0.463,https://bldata.berkeley.edu/pipeline/AGBT16B_999_19/holding/spliced_blc0001020304050607_guppi_57634_26669_Hip107975_0033.gpuspec.0002.h5
HIP108036,2026 Technosignature Search,Breakthrough Listen HPRC full target catalog,HIP 108036; HIP108036,328.324167,-13.551667,hdf5_size_preflight_ok,0.238503,new_parameter_space,2.75,1.5,0,3,2.5,1,3,2.75,0,0.08,16.5,0.542,background_priority_v0,raw_download_approval_required,Current BL HDF5 URL passed HEAD-only size preflight. Raw download still requires explicit operator approval and storage-reserve check.,docs/bl_hprc_target_list_research.md; docs/astrometrics_data_selection_policy.md; docs/SYSTEMATIC_SEARCH_PLAN.md,not_searched_size_preflight_ok,0.463,https://bldata.berkeley.edu/pipeline/AGBT16A_999_250/holding/spliced_blc0001020304050607_guppi_57601_21057_Hip108036_0009.gpuspec.0002.h5
HIP108506,2026 Technosignature Search,Breakthrough Listen HPRC full target catalog,HIP 108506; HIP108506,329.729167,-4.373056,hdf5_size_preflight_ok,0.200846,new_parameter_space,2.75,1.5,0,3,2.5,1,3,2.75,0,0.08,16.5,0.542,background_priority_v0,raw_download_approval_required,Current BL HDF5 URL passed HEAD-only size preflight. Raw download still requires explicit operator approval and storage-reserve check.,docs/bl_hprc_target_list_research.md; docs/astrometrics_data_selection_policy.md; docs/SYSTEMATIC_SEARCH_PLAN.md,not_searched_size_preflight_ok,0.463,https://bldata.berkeley.edu/pipeline/AGBT16A_999_152/holding/spliced_blc02030405_2bit_guppi_57497_53542_HIP108506_0015.gpuspec.0002.h5
HIP1086,2026 Technosignature Search,Breakthrough Listen HPRC full target catalog,HIP 1086; HIP1086,3.378333,41.035278,hdf5_size_preflight_ok,0.243235,new_parameter_space,2.75,1.5,0,3,2.5,1,3,2.75,0,0.08,16.5,0.542,background_priority_v0,raw_download_approval_required,Current BL HDF5 URL passed HEAD-only size preflight. Raw download still requires explicit operator approval and storage-reserve check.,docs/bl_hprc_target_list_research.md; docs/astrometrics_data_selection_policy.md; docs/SYSTEMATIC_SEARCH_PLAN.md,not_searched_size_preflight_ok,0.463,https://bldata.berkeley.edu/pipeline/AGBT17A_999_08/holding/spliced_blc0001020304050607_guppi_57803_72273_HIP1086_0008.gpuspec.0002.h5
HIP109474,2026 Technosignature Search,Breakthrough Listen HPRC full target catalog,HIP 109474; HIP109474,332.661667,70.1325,hdf5_size_preflight_ok,0.240619,new_parameter_space,2.75,1.5,0,3,2.5,1,3,2.75,0,0.08,16.5,0.542,background_priority_v0,raw_download_approval_required,Current BL HDF5 URL passed HEAD-only size preflight. Raw download still requires explicit operator approval and storage-reserve check.,docs/bl_hprc_target_list_research.md; docs/astrometrics_data_selection_policy.md; docs/SYSTEMATIC_SEARCH_PLAN.md,not_searched_size_preflight_ok,0.463,https://bldata.berkeley.edu/pipeline/AGBT17B_999_24/holding/spliced_blc0001020304050607_guppi_58002_18600_HIP109474_0014.gpuspec.0002.h5
HIP109822,2026 Technosignature Search,Breakthrough Listen HPRC full target catalog,HIP 109822; HIP109822,333.659167,-15.818333,hdf5_size_preflight_ok,0.238458,new_parameter_space,2.75,1.5,0,3,2.5,1,3,2.75,0,0.08,16.5,0.542,background_priority_v0,raw_download_approval_required,Current BL HDF5 URL passed HEAD-only size preflight. Raw download still requires explicit operator approval and storage-reserve check.,docs/bl_hprc_target_list_research.md; docs/astrometrics_data_selection_policy.md; docs/SYSTEMATIC_SEARCH_PLAN.md,not_searched_size_preflight_ok,0.463,https://bldata.berkeley.edu/pipeline/AGBT16B_999_26/holding/spliced_blc0001020304050607_guppi_57654_20322_Hip109822_0025.gpuspec.0002.h5
HIP109857,2026 Technosignature Search,Breakthrough Listen HPRC full target catalog,HIP 109857; HIP109857,333.759167,57.043333,hdf5_size_preflight_ok,0.237507,new_parameter_space,2.75,1.5,0,3,2.5,1,3,2.75,0,0.08,16.5,0.542,background_priority_v0,raw_download_approval_required,Current BL HDF5 URL passed HEAD-only size preflight. Raw download still requires explicit operator approval and storage-reserve check.,docs/bl_hprc_target_list_research.md; docs/astrometrics_data_selection_policy.md; docs/SYSTEMATIC_SEARCH_PLAN.md,not_searched_size_preflight_ok,0.463,https://bldata.berkeley.edu/pipeline/AGBT16B_999_34/holding/spliced_blc0001020304050607_guppi_57662_15664_HIP109857_0027.gpuspec.0002.h5
HIP11000,2026 Technosignature Search,Breakthrough Listen HPRC full target catalog,HIP 11000; HIP11000,35.435,-6.879444,hdf5_size_preflight_ok,0.241996,new_parameter_space,2.75,1.5,0,3,2.5,1,3,2.75,0,0.08,16.5,0.542,background_priority_v0,raw_download_approval_required,Current BL HDF5 URL passed HEAD-only size preflight. Raw download still requires explicit operator approval and storage-reserve check.,docs/bl_hprc_target_list_research.md; docs/astrometrics_data_selection_policy.md; docs/SYSTEMATIC_SEARCH_PLAN.md,not_searched_size_preflight_ok,0.463,https://bldata.berkeley.edu/pipeline/AGBT16A_999_194/holding/spliced_blc0001020304050607_guppi_57525_57974_HIP11000_0009.gpuspec.0002.h5
HIP11029,2026 Technosignature Search,Breakthrough Listen HPRC full target catalog,HIP 11029; HIP11029,35.50625,10.7775,hdf5_size_preflight_ok,0.243904,new_parameter_space,2.75,1.5,0,3,2.5,1,3,2.75,0,0.08,16.5,0.542,background_priority_v0,raw_download_approval_required,Current BL HDF5 URL passed HEAD-only size preflight. Raw download still requires explicit operator approval and storage-reserve check.,docs/bl_hprc_target_list_research.md; docs/astrometrics_data_selection_policy.md; docs/SYSTEMATIC_SEARCH_PLAN.md,not_searched_size_preflight_ok,0.463,https://bldata.berkeley.edu/pipeline/AGBT16A_999_194/holding/spliced_blc0001020304050607_guppi_57525_60002_HIP11029_0015.gpuspec.0002.h5
HIP110341,2026 Technosignature Search,Breakthrough Listen HPRC full target catalog,HIP 110341; HIP110341,335.2325,8.186667,hdf5_size_preflight_ok,0.238048,new_parameter_space,2.75,1.5,0,3,2.5,1,3,2.75,0,0.08,16.5,0.542,background_priority_v0,raw_download_approval_required,Current BL HDF5 URL passed HEAD-only size preflight. Raw download still requires explicit operator approval and storage-reserve check.,docs/bl_hprc_target_list_research.md; docs/astrometrics_data_selection_policy.md; docs/SYSTEMATIC_SEARCH_PLAN.md,not_searched_size_preflight_ok,0.463,https://bldata.berkeley.edu/pipeline/AGBT16A_999_250/holding/spliced_blc0001020304050607_guppi_57601_29831_Hip110341_0033.gpuspec.0002.h5
HIP110750,2026 Technosignature Search,Breakthrough Listen HPRC full target catalog,HIP 110750; HIP110750,336.55625,-19.188333,hdf5_size_preflight_ok,0.239041,new_parameter_space,2.75,1.5,0,3,2.5,1,3,2.75,0,0.08,16.5,0.542,background_priority_v0,raw_download_approval_required,Current BL HDF5 URL passed HEAD-only size preflight. Raw download still requires explicit operator approval and storage-reserve check.,docs/bl_hprc_target_list_research.md; docs/astrometrics_data_selection_policy.md; docs/SYSTEMATIC_SEARCH_PLAN.md,not_searched_size_preflight_ok,0.463,https://bldata.berkeley.edu/pipeline/AGBT16B_999_26/holding/spliced_blc0001020304050607_guppi_57654_18615_Hip110750_0020.gpuspec.0002.h5
